"cokey"	"ave_no3_leach"	"ave_nh3_vol"	"bulk_dens"	"ph"	"wthirdbar"	"wfifteenbar"	"awc"	"clay_frac"	"sand_frac"	"ksat"	"om"
"11622391"	"135.92"	"1.83"	"1.53"	"5.80"	"18.70"	"9.80"	"0.13"	"12.00"	"65.00"	"28.00"	"2.00"
"11622392"	"151.35"	"2.78"	"1.43"	"6.50"	"27.40"	"12.80"	"0.19"	"15.00"	"44.00"	"9.00"	"3.50"
"11622396"	"150.15"	"2.72"	"1.43"	"6.50"	"27.40"	"12.80"	"0.19"	"15.00"	"44.00"	"9.00"	"3.50"
"11622411"	"153.59"	"4.05"	"1.50"	"7.00"	"17.40"	"8.50"	"0.14"	"10.00"	"66.90"	"28.00"	"2.00"
"11622413"	"166.98"	"4.65"	"1.50"	"7.00"	"17.40"	"8.50"	"0.14"	"10.00"	"66.90"	"28.00"	"2.00"
"11622415"	"161.11"	"4.62"	"1.50"	"7.00"	"17.40"	"8.50"	"0.14"	"10.00"	"66.90"	"28.00"	"2.00"
"11622419"	"137.40"	"22.11"	"1.08"	"6.70"	"34.70"	"25.00"	"0.22"	"28.00"	"33.60"	"3.00"	"8.00"
"11622423"	"139.00"	"2.00"	"1.53"	"6.20"	"20.40"	"11.80"	"0.14"	"13.00"	"55.40"	"28.00"	"2.50"
"11622430"	"134.62"	"2.65"	"1.53"	"6.50"	"22.20"	"13.20"	"0.14"	"15.00"	"60.00"	"28.00"	"2.00"
"11622434"	"133.42"	"5.78"	"1.38"	"6.70"	"32.70"	"20.40"	"0.22"	"25.50"	"24.00"	"9.00"	"5.50"
"11622520"	"133.70"	"2.55"	"1.53"	"6.50"	"22.20"	"13.20"	"0.14"	"15.00"	"65.00"	"28.00"	"2.00"
"11622522"	"135.64"	"2.67"	"1.53"	"6.50"	"22.20"	"13.20"	"0.14"	"15.00"	"65.00"	"28.00"	"2.00"
"11622524"	"150.17"	"2.71"	"1.43"	"6.50"	"27.70"	"12.90"	"0.19"	"15.00"	"44.00"	"9.00"	"3.50"
