year,day,no3_leach,n2o_flux,h2o_leach,precip,very_labile_litterC,labile_litterC,resistant_litterC,microbialC,labile_humadsC,resistant_humadsC,humusC,inertC,frozen_doc,wtc_avail,ch4C,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
 13,  1, 0.0000, 0.0000, 0.4388, 0.0000, 0.0000, 4.8154,1143.3445,39.4743,830.7842,4362.8794,85818.3516, 0.0000, 0.0000,56.8668, 0.0000,15.7000, 8.3465, 0.7140, 0.0000, 0.0218
 13,  2, 0.0000, 0.0000, 0.4360, 0.0000, 0.0000, 4.7920,1143.0513,39.6335,830.5403,4362.8340,85818.3984, 0.0000, 0.0000,55.8122, 0.0000,15.7000, 8.2788, 0.7131, 0.0000, 0.0210
 13,  3, 0.0000, 0.0000, 0.4344, 0.0000, 0.0000, 4.7700,1142.7764,39.7845,830.2993,4362.7910,85818.4297, 0.0000, 0.0000,54.8759, 0.0000,15.7000, 8.2277, 0.7121, 0.0000, 0.0203
 13,  4, 0.0000, 0.0000, 0.4327, 0.0000, 0.0000, 4.7471,1142.4735,39.9472,830.0547,4362.7466,85818.4922, 0.0000, 0.0000,53.9013, 0.0000,15.7000, 8.2912, 0.7112, 0.0000, 0.0201
 13,  5, 0.0000, 0.0000, 0.4304, 0.0000, 0.0000, 4.7215,1142.0798,40.1495,829.7936,4362.6982,85818.5078, 0.0000, 0.0000,52.6692, 0.0000,15.7000, 8.8327, 0.7103, 0.0000, 0.0232
 13,  6, 0.0000, 0.0000, 0.4291, 0.0000, 0.0000, 4.6925,1139.9625,40.5497,829.4883,4362.6431,85818.5078, 0.0000, 0.0000,51.3471, 0.0000,15.7000,10.7575, 0.7093, 0.0000, 0.0278
 13,  7, 0.0000, 0.0000, 0.4270, 0.0000, 0.0000, 4.6651,1139.5309,40.7733,829.1863,4362.5874,85818.5078, 0.0000, 0.0000,50.1685, 0.0000,15.7000,10.6989, 0.7084, 0.0000, 0.0274
 13,  8, 0.0000, 0.0000, 0.4251, 0.0000, 0.0000, 4.6392,1139.1174,40.9882,828.8876,4362.5327,85818.5156, 0.0000, 0.0000,49.1212, 0.0000,15.7000,10.6311, 0.7075, 0.0000, 0.0271
 13,  9, 0.0000, 0.0000, 0.4238, 0.0000, 0.0000, 4.6141,1138.7098,41.2004,828.5909,4362.4785,85818.5313, 0.0000, 0.0000,48.1616, 0.0000,15.7000,10.6112, 0.7066, 0.0000, 0.0268
 13, 10, 0.0000, 0.0000, 0.4214, 0.0000, 0.0000, 4.5895,1138.3013,41.4125,828.2949,4362.4253,85818.5625, 0.0000, 0.0000,47.2581, 0.0000,15.7000,10.6338, 0.7056, 0.0000, 0.0267
 13, 11, 0.0000, 0.0000, 0.4199, 0.0000, 0.0000, 4.5656,1137.8949,41.6230,827.9998,4362.3696,85818.5625, 0.0000, 0.0000,46.4174, 0.0000,15.7000,10.6360, 0.7047, 0.0000, 0.0266
 13, 12, 0.0000, 0.0000, 0.4186, 0.0000, 0.0000, 4.5434,1137.5135,41.8225,827.7094,4362.3174,85818.5859, 0.0000, 0.0000,45.6899, 0.0000,15.7000,10.5072, 0.7038, 0.0000, 0.0261
 13, 13, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 4.5220,1137.1558,42.0116,827.4223,4362.2651,85818.6016, 0.0000, 0.0000,45.0600, 0.0000,15.7000,10.3634, 0.7002, 0.0000, 0.0255
 13, 14, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, 4.5008,1136.8070,42.1967,827.1367,4362.2139,85818.6328, 0.0000, 0.0000,44.4861, 0.0000,15.7000,10.3505, 0.7002, 0.0000, 0.0250
