year,day,no3_leach,h2o_leach,precip,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
16,1,0,0,0,7.9,5.69,0.66,0,0.12
16,2,0,0,0,7.9,5.66,0.66,0,0.11
16,3,0,0,0,7.9,5.6,0.66,0,0.11
16,4,0,0,2,7.9,5.54,0.66,0,0.11
16,5,0,0,0,7.9,5.41,0.66,0,0.1
16,6,0,0,7,7.9,5.43,0.66,0,0.1
16,7,0,0,0,7.9,5.39,0.66,0,0.1
16,8,0,0,0,7.9,5.36,0.66,0,0.1
16,9,0,0,0,7.9,5.32,0.67,0,0.09
16,10,0,0,0,7.9,5.28,0.67,0,0.09
16,11,0,0,0,7.9,5.26,0.68,0,0.09
16,12,0,0,0,7.9,5.21,0.68,0,0.09
16,13,0,0,0,7.9,5.15,0.66,0,0.09
16,14,0,0,0,7.9,5.12,0.66,0,0.09
16,15,0,0,0,7.9,5.11,0.67,0,0.08
16,16,0,0,0,7.9,5.1,0.69,0,0.08
16,17,0,0,0,7.9,5.1,0.69,0,0.08
16,18,0,0,0,7.9,5.09,0.69,0,0.08
16,19,0,0,0,7.9,5.09,0.69,0,0.08
16,20,0,0,0,7.9,5.11,0.69,0,0.08
16,21,0,0.29,0,7.9,5.09,0.69,0,0.08
16,22,0,0.29,0,7.9,5.04,0.68,0,0.08
16,23,0,0.29,0,7.9,5.05,0.68,0,0.08
16,24,0,0.29,0,7.9,5.29,0.68,0,0.08
16,25,0,0.28,2,7.9,5.64,0.68,0,0.08
16,26,0,0.28,0,7.9,5.63,0.68,0,0.09
16,27,0,0.28,0,7.9,6.27,0.68,0,0.12
16,28,0,0.27,0,7.9,6.3,0.68,0,0.12
16,29,0,0.27,0,7.9,6.26,0.67,0,0.12
16,30,0,0.26,0,7.9,6.03,0.67,0,0.12
16,31,0,0.26,0,7.9,5.9,0.67,0,0.12
16,32,0,0,10,7.9,5.77,0.67,0,0.12
16,33,0,0,0,7.9,5.66,0.67,0,0.11
16,34,0,0,0,7.9,5.58,0.66,0,0.11
16,35,0,0,0,7.9,5.51,0.66,0,0.11
16,36,0,0,0,7.9,5.44,0.66,0,0.11
16,37,0,0,0,7.9,5.39,0.66,0,0.11
16,38,0,0,0,7.9,5.37,0.67,0,0.1
16,39,0,0,0,7.9,5.35,0.67,0,0.1
16,40,0,0,0,7.9,5.31,0.67,0,0.1
16,41,0,0,0,7.9,5.27,0.67,0,0.1
16,42,0,0,0,7.9,5.24,0.66,0,0.09
16,43,0,0,0,7.9,5.09,0.65,0,0.09
16,44,0,0,0,7.9,4.98,0.65,0,0.09
16,45,0,0.23,0,7.9,5.04,0.66,0,0.09
16,46,0,0,0,7.9,4.61,0.64,0,0.09
16,47,0,0,0,7.9,4.41,0.63,0,0.08
16,48,0,0,0,7.9,4.38,0.63,0,0.08
16,49,0,0,0,7.9,4.1,0.61,0,0.08
16,50,0,0,0,7.9,3.79,0.61,0,0.07
16,51,0,0,0,7.9,3.83,0.6,0,0.07
16,52,0,0,0,7.9,4.33,0.61,0,0.07
16,53,0,0,0,7.9,4.08,0.61,0,0.06
16,54,0,0,0,7.9,3.73,0.61,0,0.06
16,55,0,0,0,7.9,3.79,0.6,0,0.06
16,56,0,0,0,7.9,4.11,0.6,0,0.06
16,57,0,0,4,7.9,4.1,0.61,0,0.05
16,58,0,0,0,7.9,4.05,0.61,0,0.05
16,59,0,0,0,7.9,4.04,0.61,0,0.05
16,60,0,0,0,7.9,4.06,0.62,0,0.05
16,61,0,0,0,7.9,4.07,0.63,0,0.05
16,62,0,0,0,7.9,4,0.63,0,0.05
16,63,0,0,0,7.9,3.81,0.63,0,0.05
16,64,0,0,0,7.9,3.54,0.61,0,0.05
16,65,0,0,0,7.9,3.65,0.61,0,0.05
16,66,0,0.22,0,7.9,5.06,0.66,0,0.07
16,67,0,0.22,0,7.9,6.61,0.66,0,0.13
16,68,0,0.22,0,7.9,8.39,0.66,0,0.18
16,69,0,0.22,0,7.9,9.73,0.66,0,0.22
16,70,0,0.22,0,7.9,9.9,0.66,0,0.22
16,71,0,0.22,0,7.9,10.04,0.66,0,0.22
16,72,0,0.22,0,7.9,10.27,0.66,0,0.22
16,73,0,0.22,0,7.9,10.34,0.66,0,0.22
16,74,0,0.22,0,7.9,10.46,0.65,0,0.22
16,75,0,0.23,0,7.9,10.73,0.65,0,0.23
16,76,0,0.23,0,7.9,10.76,0.65,0,0.23
16,77,0,0.23,0,7.9,9.86,0.65,0,0.23
16,78,0,0.24,0,7.9,9.65,0.65,0,0.22
16,79,0,0.24,0,7.9,9.74,0.65,0,0.22
16,80,0,0.25,0,7.9,9.94,0.65,0,0.22
16,81,0,0.25,0,7.9,9.86,0.65,0,0.22
16,82,0,0.26,0,7.9,9.86,0.65,0,0.22
16,83,0,0.26,0,7.9,9.58,0.65,0,0.21
16,84,0,0.27,10,7.9,9.32,0.68,0,0.21
16,85,0,0.27,0,7.9,9.19,0.67,0,0.21
16,86,0,0.28,0,7.9,9,0.67,0,0.21
16,87,0,0.28,0,7.9,8.89,0.67,0,0.21
16,88,0,0.29,0,7.9,9.17,0.66,0,0.21
16,89,0,0.29,0,7.9,9.76,0.66,0,0.21
16,90,0,0.3,0,7.9,10.07,0.66,0,0.21
16,91,0,0.3,0,7.9,10.4,0.66,0,0.21
16,92,0,0.3,3,7.9,10.68,0.66,0,0.21
16,93,0,0.3,0,7.9,10.55,0.66,0,0.22
16,94,0,0.31,0,7.9,10.14,0.66,0,0.22
16,95,0,0.31,0,7.9,10.29,0.66,0,0.22
16,96,0,0.31,0,7.9,10.46,0.65,0,0.23
16,97,0,0.31,0,7.9,10.17,0.65,0,0.23
16,98,0,0.31,1,7.9,9.5,0.65,0,0.21
16,99,0,0.3,16,7.9,9.44,0.71,0,0.21
16,100,0,0.3,7,7.9,9.38,0.72,0,2
16,101,0,0.3,0,7.9,9.74,0.71,0,0.61
16,102,0,0.3,0,7.9,10.08,0.7,0,0.61
