year,day,no3_leach,h2o_leach,precip,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol,,,,
13,1,0,0,2,6.1,5.33,0.3,0,0,,,,
13,2,0,0,0,6.1,5.15,0.29,0,0,,,,
13,3,0,0,0,6.1,5.02,0.29,0,0,,,,
13,4,0.07,0.16,0,6.1,5.23,0.3,0,0,,,,
13,5,0.07,0.16,0,6.1,6.02,0.3,0,0,,,,
13,6,0.06,0.16,0,6.1,7.12,0.3,0,0,,,,
13,7,0.06,0.16,0,6.1,6.99,0.3,0,0,,,,
13,8,0.06,0.16,0,6.1,6.81,0.3,0,0,,,,
13,9,0.06,0.16,0,6.1,6.77,0.29,0,0,,,,
13,10,0.06,0.15,0,6.1,6.87,0.29,0,0,,,,
13,11,0.06,0.15,0,6.1,6.86,0.29,0,0,,,,
13,12,0.06,0.15,0,6.1,6.44,0.29,0,0,,,,
13,13,0,0,0,6.1,5.93,0.28,0,0,,,,
13,14,0,0,0,6.1,5.66,0.28,0,0,,,,
13,15,0,0,0,6.1,5.69,0.28,0,0,,,,
13,16,0.06,0.15,0,6.1,5.72,0.29,0,0,,,,
13,17,0,0,2,6.1,5.57,0.29,0,0,,,,
13,18,0,0,0,6.1,5.44,0.28,0,0,,,,
13,19,0,0,0,6.1,5.27,0.28,0,0,,,,
13,20,0,0,11,6.1,5.33,0.29,0,0,,,,
13,21,0,0,0,6.1,5.29,0.29,0,0,,,,
13,22,0,0,0,6.1,5.25,0.29,0,0,,,,
13,23,0,0,2,6.1,5.22,0.29,0,0,,,,
13,24,0,0,0,6.1,5.17,0.29,0,0,,,,
13,25,0,0,2,6.1,5.13,0.29,0,0,,,,
13,26,0,0,0,6.1,5.1,0.29,0,0,,,,
13,27,0,0,1,6.1,5.06,0.29,0,0,,,,
13,28,0,0,0,6.1,5.01,0.29,0,0,,,,
13,29,0,0,0,6.1,4.97,0.29,0,0,,,,
13,30,0,0,0,6.1,4.93,0.29,0,0,,,,
13,31,0,0,0,6.1,4.91,0.28,0,0,,,,
13,32,0,0,0,6.1,4.88,0.28,0,0,,,,
13,33,0,0,0,6.1,4.85,0.28,0,0,,,,
13,34,0,0,0,6.1,4.81,0.28,0,0,,,,
13,35,0,0,0,6.1,4.77,0.28,0,0,,,,
13,36,0,0,0,6.1,4.73,0.28,0,0,,,,
13,37,0,0,0,6.1,4.7,0.28,0,0,,,,
13,38,0,0,0,6.1,4.66,0.28,0,0,,,,
13,39,0,0,0,6.1,4.54,0.28,0,0,,,,
13,40,0,0,0,6.1,4.49,0.28,0,0,,,,
13,41,0,0,0,6.1,4.28,0.28,0,0,,,,
13,42,0,0,0,6.1,3.88,0.27,0,0,,,,
13,43,0,0,0,6.1,3.66,0.27,0,0,,,,
13,44,0,0,0,6.1,3.6,0.27,0,0,,,,
13,45,0,0,7,6.1,4.09,0.28,0,0,,,,
13,46,0,0,0,6.1,4.09,0.28,0,0,,,,
13,47,0,0,0,6.1,4.09,0.28,0,0,,,,
13,48,0,0,0,6.1,4.08,0.28,0,0,,,,
13,49,0,0,0,6.1,4.06,0.28,0,0,,,,
13,50,0,0,0,6.1,4.05,0.28,0,0,,,,
13,51,0,0,0,6.1,4.06,0.28,0,0,,,,
13,52,0.05,0.12,7,6.1,4.1,0.31,0,0,,,,
13,53,0.05,0.12,0,6.1,4.28,0.3,0,0,,,,
13,54,0.05,0.12,0,6.1,4.47,0.3,0,0,,,,
13,55,0,0,10,6.1,4.28,0.3,0,0,,,,
13,56,0,0,0,6.1,4.19,0.3,0,0,,,,
13,57,0,0,0,6.1,4.15,0.3,0,0,,,,
13,58,0,0,0,6.1,4.1,0.3,0,0,,,,
13,59,0,0,0,6.1,4.06,0.3,0,0,,,,
13,60,0,0,38,6.1,4.05,0.3,0,0,,,,
13,61,0,0,0,6.1,4.04,0.3,0,0,,,,
13,62,0,0,0,6.1,4.02,0.3,0,0,,,,
13,63,0,0,0,6.1,4,0.3,0,0,,,,
13,64,0,0,0,6.1,3.98,0.3,0,0,,,,
13,65,0,0,1,6.1,3.96,0.3,0,0,,,,
13,66,0,0,0,6.1,3.94,0.29,0,0,,,,
13,67,0,0,0,6.1,3.93,0.29,0,0,,,,
13,68,0,0,0,6.1,3.91,0.29,0,0,,,,
13,69,0,0,0,6.1,3.89,0.29,0,0,,,,
13,70,0,0,0,6.1,3.87,0.29,0,0,,,,
