year,day,no3_leach,h2o_leach,precip,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
16,1,0,0,0,6.1,4.52,0.33,0,0
16,2,0,0,0,6.1,4.52,0.33,0,0
16,3,0,0,0,6.1,4.45,0.33,0,0
16,4,0,0,1,6.1,4.32,0.33,0,0
16,5,0,0,0,6.1,4.12,0.31,0,0
16,6,0,0,6,6.1,4.21,0.32,0,0
16,7,0,0,0,6.1,4.17,0.33,0,0
16,8,0,0,0,6.1,4.14,0.33,0,0
16,9,0,0,0,6.1,4.11,0.33,0,0
16,10,0,0,0,6.1,4.06,0.33,0,0
16,11,0,0,0,6.1,4.04,0.33,0,0
16,12,0,0,0,6.1,3.98,0.33,0,0
16,13,0,0,0,6.1,3.91,0.33,0,0
16,14,0,0,0,6.1,3.89,0.33,0,0
16,15,0,0,0,6.1,3.89,0.33,0,0
16,16,0,0,0,6.1,3.88,0.35,0,0
16,17,0,0,0,6.1,3.88,0.36,0,0
16,18,0,0,0,6.1,3.9,0.36,0,0
16,19,0,0,0,6.1,3.98,0.36,0,0
16,20,0.07,0.22,0,6.1,4.46,0.36,0,0
16,21,0.07,0.22,0,6.1,4.37,0.36,0,0
16,22,0.07,0.22,0,6.1,4.25,0.35,0,0
16,23,0.07,0.22,0,6.1,4.21,0.35,0,0
16,24,0.07,0.22,0,6.1,4.25,0.35,0,0
16,25,0.07,0.22,2,6.1,4.25,0.36,0,0
16,26,0.07,0.22,0,6.1,4.3,0.35,0,0
16,27,0.07,0.21,0,6.1,4.51,0.35,0,0
16,28,0.07,0.21,0,6.1,4.62,0.35,0,0
16,29,0.07,0.21,0,6.1,4.55,0.35,0,0
16,30,0.07,0.21,0,6.1,4.39,0.34,0,0
16,31,0.07,0.21,0,6.1,4.25,0.34,0,0
16,32,0,0,10,6.1,4.18,0.34,0,0
16,33,0,0,0,6.1,4.09,0.34,0,0
16,34,0,0,0,6.1,4.02,0.34,0,0
16,35,0,0,0,6.1,3.97,0.34,0,0
16,36,0,0,0,6.1,3.91,0.34,0,0
16,37,0,0,0,6.1,3.88,0.34,0,0
16,38,0,0,0,6.1,3.88,0.34,0,0
16,39,0,0,0,6.1,3.86,0.34,0,0
16,40,0,0,0,6.1,3.82,0.34,0,0
16,41,0,0,0,6.1,3.79,0.34,0,0
16,42,0,0,0,6.1,3.74,0.34,0,0
16,43,0,0,0,6.1,3.62,0.32,0,0
16,44,0,0,1,6.1,3.58,0.32,0,0
16,45,0,0,0,6.1,3.57,0.32,0,0
16,46,0,0,0,6.1,3.34,0.31,0,0
16,47,0,0,0,6.1,3.26,0.31,0,0
16,48,0,0,0,6.1,2.92,0.29,0,0
16,49,0,0,0,6.1,2.54,0.29,0,0
16,50,0,0,0,6.1,2.2,0.29,0,0
16,51,0,0,0,6.1,2.2,0.29,0,0
16,52,0,0,0,6.1,2.38,0.28,0,0
16,53,0,0,0,6.1,2.15,0.28,0,0
16,54,0,0,0,6.1,1.88,0.28,0,0
16,55,0,0,0,6.1,1.95,0.28,0,0
16,56,0,0,2,6.1,2.69,0.28,0,0
16,57,0,0,2,6.1,2.6,0.28,0,0
16,58,0,0,0,6.1,2.53,0.29,0,0
16,59,0,0,0,6.1,2.52,0.29,0,0
16,60,0,0,0,6.1,2.53,0.29,0,0
16,61,0,0,0,6.1,2.5,0.29,0,0
16,62,0,0,0,6.1,2.36,0.29,0,0
16,63,0,0,0,6.1,2.13,0.29,0,0
16,64,0,0,0,6.1,1.86,0.29,0,0
16,65,0,0,0,6.1,1.9,0.28,0,0
16,66,0,0,0,6.1,2.46,0.28,0,0
16,67,0.07,0.21,4,6.1,3.66,0.35,0,0
16,68,0.07,0.21,0,6.1,6.16,0.35,0,0
16,69,0.07,0.21,0,6.1,8.87,0.34,0,0
16,70,0.07,0.21,0,6.1,9.01,0.34,0,0
16,71,0.07,0.21,0,6.1,9.19,0.34,0,0
16,72,0.07,0.21,0,6.1,9.4,0.33,0,0
16,73,0.07,0.21,0,6.1,9.5,0.33,0,0
16,74,0.07,0.22,0,6.1,9.68,0.33,0,0
16,75,0.07,0.22,0,6.1,9.9,0.32,0,0
16,76,0.07,0.22,0,6.1,9.85,0.32,0,0
16,77,0.07,0.22,0,6.1,9.26,0.32,0,0
16,78,0.07,0.22,0,6.1,8.93,0.32,0,0
16,79,0.07,0.22,0,6.1,9.02,0.32,0,0
16,80,0.07,0.22,0,6.1,9.14,0.32,0,0
16,81,0.07,0.23,0,6.1,8.98,0.31,0,0
16,82,0.07,0.23,0,6.1,8.78,0.31,0,0
16,83,0.07,0.23,0,6.1,8.65,0.31,0,0
16,84,0.07,0.23,6,6.1,8.45,0.33,0,0
16,85,0.07,0.23,0,6.1,8.3,0.33,0,0
16,86,0.07,0.23,0,6.1,8.08,0.33,0,0
16,87,0.07,0.23,0,6.1,7.96,0.33,0,0
16,88,0.07,0.23,0,6.1,8.12,0.32,0,0
16,89,0.07,0.23,0,6.1,8.89,0.32,0,0
16,90,0.07,0.22,0,6.1,9.19,0.32,0,0
16,91,0.07,0.22,0,6.1,9.56,0.31,0,0
16,92,0.07,0.22,3,6.1,9.82,0.32,0,0
16,93,0.07,0.22,0,6.1,9.72,0.32,0,0
16,94,0.07,0.22,0,6.1,9.54,0.32,0,0
16,95,0.07,0.22,0,6.1,9.66,0.31,0,0
16,96,0.07,0.21,0,6.1,9.75,0.31,0,0
16,97,0.07,0.21,0,6.1,9.47,0.31,0,0
16,98,0.06,0.21,7,6.1,8.78,0.33,0,0
16,99,0.06,0.2,9,6.1,8.7,0.37,0,0
16,100,0.07,0.2,9,6.1,8.68,0.4,0,1.54
16,101,0.07,0.2,0,6.1,8.94,0.39,0,0.01
16,102,0.07,0.19,0,6.1,9.25,0.38,0,0.01
16,103,0.07,0.19,2,6.1,9.49,0.38,0,0.01
16,104,0.07,0.19,0,6.1,9.65,0.38,0,0.01
16,105,0.07,0.18,0,6.1,9.8,0.37,0,0.01
16,106,0.06,0.18,0,6.1,9.92,0.37,0,0.01
16,107,0.06,0.18,0,6.1,10.13,0.36,0,0.01
16,108,0.06,0.17,0,6.1,10.31,0.36,0,0.01
16,109,0.07,0.17,5,6.1,10.32,0.37,0,0.01
16,110,0.08,0.17,0,6.1,10.08,0.37,0,0.01
16,111,0.08,0.17,0,6.1,9.6,0.36,0,0.01
16,112,0.09,0.18,0,6.1,9.17,0.36,0,0.01
16,113,0.09,0.18,0,6.1,9.24,0.36,0,0.01
16,114,0.09,0.19,0,6.1,9.44,0.35,0,0.01
16,115,0.1,0.2,0,6.1,9.62,0.35,0,0.01
16,116,0.1,0.21,0,6.1,9.69,0.35,0,0.01
16,117,0.1,0.21,0,6.1,9.82,0.35,0,0.01
16,118,0.11,0.22,0,6.1,9.96,0.34,0,0.01
16,119,0.11,0.22,0,6.1,10.08,0.34,0,0.01
16,120,0.11,0.23,0,6.1,10.24,0.34,0,0.01
16,121,0.11,0.23,1,6.1,10.47,0.34,0,0.01
16,122,0.12,0.24,0,6.1,10.69,0.34,0,0.01
16,123,0.12,0.24,0,6.1,10.96,0.34,0,0.01
16,124,0.12,0.24,0,6.1,11.19,0.33,0,0.01
16,125,0.12,0.24,0,6.1,11.29,0.33,0,0.01
16,126,0.12,0.24,3,6.1,11.37,0.34,0,0.01
16,127,0.13,0.24,12,6.1,11.47,0.38,0,0.01
16,128,0.13,0.24,4,6.1,11.44,0.39,0,0.01
16,129,0.13,0.24,0,6.1,11.23,0.38,0,0.01
16,130,0.15,0.24,9,6.1,11.3,0.41,0,0.01
16,131,0.17,0.26,11,6.1,11.18,0.45,0,0.01
16,132,0.19,0.3,0,6.1,10.69,0.44,0,0.01
16,133,0.22,0.35,0,6.1,10.83,0.43,0,0.01
16,134,0.28,0.43,12,6.1,11.02,0.47,0,0.01
16,135,0.34,0.53,7,6.1,11.11,0.49,0,0.01
16,136,0.41,0.63,12,6.1,11.29,0.53,0,0.01
16,137,0.45,0.69,3,6.1,11.5,0.53,0,0.01
16,138,0.47,0.73,0,6.1,11.5,0.51,0,0.01
16,139,0.52,0.81,0,6.1,10.87,0.5,0,0.01
16,140,0.65,1.01,0,6.1,10.75,0.5,0,0.01
16,141,0.87,1.35,0,6.1,10.85,0.48,0,0.01
16,142,1.16,1.81,0,6.1,11.08,0.46,0,0.01
16,143,1.55,2.42,0,6.1,11.31,0.44,0,0.01
16,144,1.99,3.12,5,6.1,11.45,0.44,0,0.01
16,145,2.33,3.67,4,6.1,11.56,0.43,0,0.01
16,146,2.37,3.79,6,6.1,11.75,0.43,0,0.01
16,147,2.06,3.41,0,6.1,11.87,0.4,0,0.01
16,148,1.57,2.69,0,6.1,12.17,0.37,0,0.01
16,149,1.09,1.91,9,6.1,12.37,0.39,0,0.01
16,150,0.71,1.25,18,6.1,12.32,0.46,0,0.01
16,151,0.43,0.77,0,6.1,12.2,0.44,0,0.01
16,152,0.26,0.46,0,6.1,12.28,0.43,0,0.01
16,153,0.15,0.27,0,6.1,12.48,0.41,0,0.01
16,154,0.08,0.15,0,6.1,12.69,0.39,0,0.01
16,155,0.05,0.09,13,6.1,12.9,0.44,0,0.01
16,156,0.03,0.06,0,6.1,13.09,0.42,0,0.01
