year,day,no3_leach,n2o_flux,h2o_leach,precip,very_labile_litterC,labile_litterC,resistant_litterC,microbialC,labile_humadsC,resistant_humadsC,humusC,inertC,frozen_doc,wtc_avail,ch4C,soil_ph,soil_temp,wfps,soil_nh3,nh3_vol
 14,  1, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,21.4193,4286.5674,52.0635,1089.4171,5721.8838,72395.0781, 0.0000, 0.0000,82.7625, 0.0000, 6.7000, 6.1638, 0.4098, 0.0000, 0.0013
 14,  2, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,21.3091,4285.5903,52.5750,1088.9408,5721.7930,72395.2109, 0.0000, 0.0000,80.8980, 0.0000, 6.7000, 6.1040, 0.4098, 0.0000, 0.0012
 14,  3, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,21.2016,4284.6147,53.0843,1088.4688,5721.7046,72395.3594, 0.0000, 0.0000,79.1523, 0.0000, 6.7000, 6.0567, 0.4098, 0.0000, 0.0012
 14,  4, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,21.0967,4283.6699,53.5780,1088.0079,5721.6172,72395.5000, 0.0000, 0.0000,77.5713, 0.0000, 6.7000, 5.9728, 0.4098, 0.0000, 0.0012
 14,  5, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.9946,4282.7446,54.0613,1087.5560,5721.5308,72395.6484, 0.0000, 0.0000,76.1288, 0.0000, 6.7000, 5.9143, 0.4098, 0.0000, 0.0012
 14,  6, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.8953,4281.8491,54.5298,1087.1145,5721.4478,72395.7891, 0.0000, 0.0000,74.8254, 0.0000, 6.7000, 5.8406, 0.4098, 0.0000, 0.0012
 14,  7, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.7986,4280.9673,54.9896,1086.6805,5721.3662,72395.9375, 0.0000, 0.0000,73.6254, 0.0000, 6.7000, 5.7865, 0.4098, 0.0000, 0.0011
 14,  8, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.7045,4280.0996,55.4437,1086.2518,5721.2842,72396.0703, 0.0000, 0.0000,72.5025, 0.0000, 6.7000, 5.7349, 0.4098, 0.0000, 0.0011
 14,  9, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.6126,4279.2290,55.8963,1085.8253,5721.2031,72396.1953, 0.0000, 0.0000,71.4322, 0.0000, 6.7000, 5.6918, 0.4098, 0.0000, 0.0011
 14, 10, 0.0916, 0.0000, 0.3371, 0.0000, 0.0000,20.5208,4278.0601,56.4801,1085.3242,5721.1089,72396.3594, 0.0000, 0.0000,70.2040, 0.0000, 6.7000, 5.7735, 0.4300, 0.0000, 0.0011
 14, 11, 0.0914, 0.0000, 0.3368, 1.0000, 0.0000,20.4283,4276.8198,69.2406,1082.8696,5710.8003,72396.5000, 0.0000, 0.0000,68.9496, 0.0000, 6.7000, 5.7661, 0.4307, 0.0000, 0.0011
 14, 12, 0.0913, 0.0000, 0.3364, 0.0000, 0.0000,20.3357,4275.7476,69.7783,1082.3954,5710.7109,72396.6484, 0.0000, 0.0000,67.7962, 0.0000, 6.7000, 5.6581, 0.4279, 0.0000, 0.0011
 14, 13, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.2447,4274.9678,70.1858,1082.0029,5710.6382,72396.7734, 0.0000, 0.0000,67.0350, 0.0000, 6.7000, 5.3043, 0.3852, 0.0000, 0.0011
 14, 14, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,20.1590,4274.3550,70.5161,1081.6610,5710.5742,72396.8828, 0.0000, 0.0000,66.6347, 0.0000, 6.7000, 5.0103, 0.3674, 0.0000, 0.0010
